id,pos_x,pos_y,proj_x,proj_y,nr_hops,InFoRM_hops
0,0.3788542151451111,0.01236563827842474,-6.046073913574219,2.2719919681549072,1,0.0049929686019784085
747,0.2485201209783554,0.0018419192638248205,-5.887524127960205,2.208113193511963,1,0.024025197724846067
1,0.048689331859350204,-0.09327959269285202,4.610165119171143,2.3785340785980225,1,0.025035472969140875
4257,-0.10521353036165237,0.01624397374689579,4.7055816650390625,0.9587262868881226,1,0.08467362113776414
2194,0.19371359050273895,-0.28840017318725586,-2.849959373474121,9.796088218688965,1,0.014099516553283233
580,0.11972978711128235,-0.14360815286636353,4.601663589477539,2.3343818187713623,1,0.4529821171268903
6478,-0.02263546921312809,-0.16576503217220306,4.284571170806885,2.5642576217651367,1,0.0033592506163586905
1222,-0.0028524980880320072,-0.0772070661187172,7.135756969451904,0.9479610919952393,1,0.010906793765360266
5735,-0.058304693549871445,-0.012926407158374786,4.3632965087890625,2.3001084327697754,1,0.017052351970679107
7146,0.026090657338500023,-0.08847300708293915,6.196771144866943,1.5650664567947388,1,0.015752066370326095
2204,0.1940734088420868,-0.252139151096344,-4.5773491859436035,9.568041801452637,1,0.02071786551048564
126,-0.043330103158950806,0.09557690471410751,4.722529888153076,1.983474850654602,1,0.014072302992930445
2639,0.08108185231685638,0.011658147908747196,3.575800895690918,1.2059001922607422,1,0.021871906263914997
2,0.2645469307899475,0.40412142872810364,9.763503074645996,17.15671730041504,1,0.06265421080663848
562,0.16693052649497986,0.3251872658729553,9.560659408569336,15.86037826538086,1,0.006014094282715493
1492,0.25011953711509705,0.38033685088157654,9.81521224975586,17.236846923828125,1,0.0072551998604965555
6,0.25722554326057434,0.3760440945625305,9.792098999023438,17.195749282836914,1,0.04433433017502445
5303,0.25610873103141785,0.4124149978160858,9.817465782165527,17.214736938476562,1,0.01620365125352103
7128,0.2736792266368866,0.3944846987724304,9.775470733642578,17.185497283935547,1,0.008538060575734932
4154,0.313700407743454,0.34931355714797974,9.263928413391113,16.844043731689453,1,0.008118765778222362
