nodeId, gender
1, 1
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 1
12, 1
13, 0
14, 0
15, 1
16, 1
17, 0
18, 1
19, 0
20, 0
21, 1
22, 0
23, 1
24, 0
25, 0
26, 0
27, 0
28, 1
29, 1
30, 1
31, 0
32, 1
33, 0
34, 0
35, 0
36, 1
37, 1
38, 0
39, 0
40, 0
41, 0
42, 0
43, 1
44, 0
45, 1
46, 0
47, 1
48, 1
49, 1
50, 0
51, 1
52, 1
53, 1
54, 0
55, 0
56, 1
57, 0
58, 0
59, 1
60, 1
61, 1
62, 1
63, 0
64, 0
65, 0
66, 1
67, 0
68, 1
69, 0
70, 0
71, 0
72, 0
73, 0
74, 0
75, 0
76, 0
77, 0
78, 1
79, 0
80, 1
81, 1
82, 0
83, 1
84, 1
85, 0
86, 1
87, 0
88, 1
89, 0
90, 1
91, 0
92, 0
93, 0
94, 1
95, 0
96, 1
97, 0
98, 0
99, 1
100, 0
101, 0
102, 0
103, 0
104, 1
105, 0
106, 0
107, 0
108, 0
109, 0
110, 1
111, 1
112, 0
113, 0
114, 1
115, 0
116, 1
117, 1
118, 0
119, 0
120, 0
121, 0
122, 1
123, 0
124, 0
125, 0
126, 1
127, 0
128, 1
129, 1
130, 0
131, 1
132, 0
133, 1
134, 0
135, 1
136, 0
137, 0
138, 0
139, 0
140, 1
141, 0
142, 1
143, 0
144, 1
145, 0
146, 0
147, 1
148, 0
149, 1
150, 1
151, 0
152, 0
153, 0
154, 1
155, 1
156, 0
157, 0
158, 0
159, 0
160, 0
161, 0
162, 1
163, 0
164, 0
165, 0
166, 0
167, 1
168, 0
169, 0
170, 0
171, 0
172, 0
173, 0
174, 0
175, 0
176, 0
177, 1
178, 1
179, 1
180, 0
181, 0
182, 1
183, 1
184, 0
185, 0
186, 1
187, 0
188, 0
189, 0
190, 1
191, 0
192, 0
193, 0
194, 1
195, 0
196, 0
197, 0
198, 1
199, 0
200, 0
201, 0
202, 0
203, 1
204, 0
205, 1
206, 0
207, 1
208, 0
209, 0
210, 1
211, 0
212, 0
213, 1
214, 0
215, 0
216, 0
217, 1
218, 0
219, 0
220, 0
221, 0
222, 1
223, 1
224, 0
225, 0
226, 0
227, 1
228, 1
229, 1
230, 0
231, 1
232, 0
233, 1
234, 1
235, 1
236, 1
237, 0
238, 0
239, 1
240, 1
241, 0
242, 0
243, 1
244, 0
245, 1
246, 1
247, 0
248, 0
249, 0
250, 1
251, 1
252, 1
253, 1
254, 0
255, 0
256, 1
257, 1
258, 0
259, 0
260, 0
261, 0
262, 0
263, 0
264, 1
265, 0
266, 0
267, 0
268, 0
269, 1
270, 1
271, 0
272, 0
273, 1
274, 0
275, 0
276, 0
277, 0
278, 1
279, 1
280, 0
281, 0
282, 0
283, 0
284, 0
285, 0
286, 0
287, 1
288, 0
289, 0
290, 0
291, 0
292, 1
293, 0
294, 0
295, 0
296, 1
297, 0
298, 1
299, 0
300, 1
301, 1
302, 1
303, 1
304, 1
305, 0
306, 0
307, 0
308, 0
309, 1
310, 1
311, 0
312, 0
313, 0
314, 0
315, 1
316, 1
317, 0
318, 0
319, 1
320, 0
321, 0
322, 1
323, 0
324, 0
325, 0
326, 0
327, 1
328, 0
329, 0
330, 1
331, 0
332, 0
333, 1
334, 1
335, 0
336, 1
337, 1
338, 1
339, 0
340, 1
341, 1
342, 0
343, 0
344, 0
345, 1
346, 0
347, 0
896, 0
897, 1
898, 0
899, 1
900, 0
901, 0
902, 0
903, 0
904, 0
905, 0
906, 0
907, 1
908, 1
909, 0
910, 1
911, 1
912, 0
913, 0
914, 0
915, 0
916, 1
917, 0
918, 1
919, 1
920, 1
921, 0
922, 0
923, 1
924, 0
925, 1
926, 0
927, 0
928, 0
929, 0
930, 0
931, 0
932, 0
933, 1
934, 0
935, 0
936, 0
937, 1
938, 1
939, 0
940, 0
941, 1
942, 0
943, 0
944, 0
945, 0
946, 1
947, 1
948, 0
949, 0
950, 0
951, 0
952, 0
953, 1
954, 1
955, 0
956, 0
957, 0
958, 0
959, 1
960, 0
961, 0
962, 0
963, 0
964, 0
965, 1
966, 0
967, 1
968, 0
969, 0
970, 0
971, 0
972, 1
973, 0
974, 1
975, 0
976, 0
977, 0
978, 0
979, 0
980, 0
981, 0
982, 1
983, 1
984, 0
985, 0
986, 0
987, 0
988, 0
989, 1
990, 0
991, 0
992, 0
993, 1
994, 1
995, 0
996, 0
997, 0
998, 0
999, 1
1000, 1
1001, 1
1002, 1
1003, 0
1004, 1
1005, 0
1006, 0
1007, 0
1008, 0
1009, 1
1010, 0
1011, 0
1012, 1
1013, 0
1014, 0
1015, 0
1016, 0
1017, 1
1018, 1
1019, 0
1020, 0
1021, 0
1022, 0
1023, 1
1024, 1
1025, 0
1026, 0
1027, 0
1028, 1
1029, 0
1030, 0
1031, 0
1032, 0
1033, 0
1034, 1
1035, 0
1036, 1
1037, 0
1038, 1
1039, 1
1040, 1
1041, 0
1042, 0
1043, 1
1044, 0
1045, 0
1046, 1
1047, 1
1048, 0
1049, 0
1050, 0
1051, 0
1052, 0
1053, 0
1054, 0
1055, 1
1056, 1
1057, 0
1058, 0
1059, 0
1060, 1
1061, 0
1062, 0
1063, 1
1064, 0
1065, 1
1066, 0
1067, 1
1068, 0
1069, 1
1070, 0
1071, 0
1072, 0
1073, 0
637, 0
1074, 0
1075, 0
1076, 1
1077, 0
1078, 0
1079, 1
1080, 0
1081, 0
1082, 0
1083, 0
1084, 0
1085, 0
1086, 0
1087, 0
1088, 0
1089, 0
1090, 0
1091, 0
1092, 1
1093, 0
1094, 1
1095, 0
1096, 0
1097, 0
1098, 0
1099, 0
1100, 0
1101, 0
1102, 0
1103, 1
1104, 0
1105, 0
1106, 0
1107, 0
1108, 0
1109, 0
1110, 0
1111, 0
1112, 0
1113, 0
1114, 0
1115, 0
1116, 0
1117, 1
1118, 0
1119, 1
1120, 0
1121, 0
1122, 0
1123, 0
1124, 1
1125, 1
1126, 0
1127, 1
1128, 0
1129, 0
1130, 1
1131, 0
1132, 0
629, 1
1133, 1
1134, 1
1135, 0
1136, 0
1137, 1
1138, 0
1139, 0
1140, 1
1141, 1
1142, 1
353, 1
1143, 0
1144, 0
1145, 1
1146, 0
1147, 0
1148, 1
1149, 1
1150, 1
1151, 0
1152, 0
1153, 0
1154, 0
1155, 1
363, 0
1156, 1
1157, 1
366, 0
1158, 0
1159, 0
1160, 0
1161, 0
1162, 1
1163, 0
1164, 0
1165, 0
1166, 0
1167, 0
1168, 0
1169, 1
1170, 0
1171, 0
1172, 0
1173, 1
1174, 1
1175, 0
1176, 0
1177, 0
1178, 0
1179, 0
1180, 0
1181, 1
